,toponym,pid,type,scale
18205,Mount Belle,30751,hill,5
18206,Mount Benger,30752,hill,5
18207,Mount Benson,30753,hill,5
18208,Mount Berners,30754,mountain,5
18209,Mount Bertha,3649,mountain,5
18210,Mount Beta,3650,hill,5
18211,Mount Beta,30756,hill,5
18212,Mount Betsy Jane,30757,hill,5
18213,Mount Bevan,30758,hill,5
18214,Mount Biggs,30759,locality,4
18215,Mount Binser,30760,hill,5
18216,Mount Bird,30761,mountain,5
18217,Mount Bird,12787,mountain,5
18218,Mount Biretta,30762,mountain,5
18219,Mount Birnam,30763,mountain,5
18220,Mount Bitterness,30764,mountain,5
18221,Mount Blackadder,3652,hill,5
18222,Mount Blackburn,12791,mountain,5
18223,Mount Blackburn,30765,mountain,5
18224,Mount Blanc,30766,hill,5
18225,Mount Bledisloe,3653,hill,5
18226,Mount Bloomfield,3654,hill,5
18227,Mount Blyth,30768,hill,5
18228,Mount Boltoff,30769,hill,5
18229,Mount Bolton,30770,hill,5
18230,Mount Bonar,30771,mountain,5
18231,Mount Bonpland,30772,mountain,5
18232,Mount Boscawen,30773,mountain,5
18233,Mount Bovis,30775,hill,5
18234,Mount Bovis,30774,mountain,5
18235,Mount Bowen,30776,mountain,5
18236,Mount Bowen,30777,hill,5
18237,Mount Bowen,12796,mountain,5
18238,Mount Bowers,30778,hill,5
18239,Mount Bowers,12797,hill,5
18240,Mount Brabazon,30779,hill,5
18241,Mount Bradley,3655,hill,5
18242,Mount Bradley,30780,hill,5
18243,Mount Bradshaw,30781,mountain,5
18244,Mount Bradshaw,49303,mountain,5
18245,Mount Brewster,30782,mountain,5
18246,Mount Brewster,12802,mountain,5
18247,Mount Brilliant,30783,hill,5
18248,Mount Brookes,30784,hill,5
18249,Mount Broome,30785,hill,5
18250,Mount Brown,30786,hill,5
18251,Mount Brown,30787,mountain,5
18252,Mount Brown,30789,mountain,5
18253,Mount Brown,30788,hill,5
18254,Mount Brown Creek,30790,stream,3
18255,Mount Brown Creek,3656,stream,3
18256,Mount Browne,30792,mountain,5
18257,Mount Browne,30791,hill,5
18258,Mount Browning,30793,hill,5
18259,Mount Browning,30794,hill,5
18260,Mount Browning,12806,hill,5
18261,Mount Bruce,12807,mountain,5
18262,Mount Bruce,30797,hill,5
18263,Mount Bruce,30795,hill,5
18264,Mount Bruce,30796,mountain,5
18265,Mount Bruce,30798,locality,4
18266,Mount Bruce Murray,30799,hill,5
18267,Mount Brunner,30800,hill,5
18268,Mount Bryce,30801,hill,5
18269,Mount Buck,30802,hill,5
18270,Mount Buckley,30803,mountain,5
18271,Mount Buckley,12808,mountain,5
18272,Mount Bull,30804,hill,5
18273,Mount Burgess,30805,mountain,5
18274,Mount Burke,30806,mountain,5
18275,Mount Burke,30807,hill,5
18276,Mount Burke Creek,30808,stream,3
18277,Mount Burley,30809,hill,5
18278,Mount Burn,30810,hill,5
18279,Mount Burnett,30811,mountain,5
18280,Mount Burnett,30813,mountain,5
18281,Mount Burnett,30812,hill,5
18282,Mount Burns,30815,mountain,5
18283,Mount Burns,30814,hill,5
18284,Mount Burster,30816,hill,5
18285,Mount Buster,30817,mountain,5
18286,Mount Butement,30818,hill,5
18287,Mount Butler,30819,mountain,5
18288,Mount Butler,12812,mountain,5
18289,Mount Butters,12813,mountain,5
18290,Mount Butzbach,30820,hill,5
18291,Mount Byrne,30821,hill,5
18292,Mount Cabot,30822,hill,5
18293,Mount Caitriana,3657,hill,5
18294,Mount Calliope,30824,mountain,5
18295,Mount Calvin,3658,hill,5
18296,Mount Calvin,56798,hill,5
18297,Mount Camel,30825,hill,5
18298,Mount Camelback,30826,hill,5
18299,Mount Cameron,30827,hill,5
18300,Mount Cameron,30829,hill,5
18301,Mount Cameron,30830,hill,5
18302,Mount Cameron,30828,mountain,5
18303,Mount Cameron,58558,hill,5
18304,Mount Campbell,30835,hill,5
18305,Mount Campbell,30832,mountain,5
18306,Mount Campbell,30831,hill,5
18307,Mount Campbell,30834,mountain,5
18308,Mount Campbell,30833,hill,5
18309,Mount Campbell,12814,farmstead,5
18310,Mount Campbell,13741,hill,5
18311,Mount Campbell Creek,30836,stream,3
18312,Mount Camsell,30837,hill,5
18313,Mount Cann,30838,mountain,5
18314,Mount Cann Creek,30839,stream,3
18315,Mount Captain,30840,hill,5
18316,Mount Card,30841,hill,5
18317,Mount Cardrona,30842,hill,5
18318,Mount Cargill,30843,mountain,5
18319,Mount Cargill,30844,locality,4
18320,Mount Caria,30845,hill,5
18321,Mount Carl,30846,hill,5
18322,Mount Carlyon,30847,mountain,5
18323,Mount Caroline,3659,hill,5
18324,Mount Carrington,30848,mountain,5
18325,Mount Cashel,3660,hill,5
18326,Mount Cass,30849,mountain,5
18327,Mount Cassidy,30850,hill,5
18328,Mount Cassidy,10520,hill,5
18329,Mount Cassin,3661,hill,5
18330,Mount Castor,30851,hill,5
18331,Mount Catherine,30855,hill,5
18332,Mount Catherine,30852,mountain,5
18333,Mount Catherine,30853,hill,5
18334,Mount Catherine,30854,mountain,5
18335,Mount Catherine,3662,hill,5
18336,Mount Catley,30856,hill,5
18337,Mount Caton,3663,hill,5
18338,Mount Cavendish,30857,hill,5
18339,Mount Caverhill,30858,hill,5
18340,Mount Cawte,30859,hill,5
18341,Mount Cecil,30860,mountain,5
18342,Mount Cedric,30861,mountain,5
18343,Mount Cerberus,12818,mountain,5
18344,Mount Cerberus,55797,mountain,5
18345,Mount Cerberus,3665,mountain,5
18346,Mount Cerberus,3664,mountain,5
18347,Mount Chamberlin,55348,hill,5
18348,Mount Chaos,30863,hill,5
18349,Mount Charles,30864,hill,5
18350,Mount Charles,55280,mountain,5
18351,Mount Charles/Poatiri,7307,hill,5
18352,Mount Charlton,3666,hill,5
18353,Mount Charon,30865,mountain,5
18354,Mount Cheeseman,3667,hill,5
18355,Mount Chesney,30866,mountain,5
18356,Mount Chevalier,30867,mountain,5
18357,Mount Chisholm,3669,hill,5
18358,Mount Chisholm,30868,hill,5
18359,Mount Chittenden,3668,hill,5
18360,Mount Christie,3670,hill,5
18361,Mount Christina,30869,mountain,5
18362,Mount Christmas,30870,hill,5
18363,Mount Christmas,12822,hill,5
18364,Mount Chudleigh,13831,hill,5
18365,Mount Chudleigh,30871,hill,5
18366,Mount Clara,30872,mountain,5
18367,Mount Clarke,50359,mountain,5
18368,Mount Clarke,12824,hill,5
18369,Mount Clarke,30874,mountain,5
18370,Mount Clarke,30873,hill,5
18371,Mount Claude,30876,hill,5
18372,Mount Clear,30877,mountain,5
18373,Mount Clerke,30878,mountain,5
18374,Mount Clio,30879,hill,5
18375,Mount Clive Stream,30880,stream,3
18376,Mount Cloher,30881,hill,5
18377,Mount Cloudsley,3672,hill,5
18378,Mount Coates,3673,hill,5
18379,Mount Coates,12825,hill,5
18380,Mount Cobb,30883,hill,5
18381,Mount Cockayne,3674,hill,5
18382,Mount Cold,30884,hill,5
18383,Mount Colin,30885,hill,5
18384,Mount Collet,50360,mountain,5
18385,Mount Conrad,56894,mountain,5
18386,Mount Conrad,30886,mountain,5
18387,Mount Constitution,30887,hill,5
18388,Mount Cook,30888,hill,5
18389,Mount Cook,50361,farmstead,5
18390,Mount Cook,55241,mountain,5
18391,Mount Cook,30889,section of populated place,3
18392,Mount Cook Range,54364,mountains,2
18393,Mount Cookson,30891,mountain,5
18394,Mount Cooper,30894,hill,5
18395,Mount Cooper,30892,hill,5
18396,Mount Cooper,50362,hill,5
18397,Mount Copernicus,3676,hill,5
18398,Mount Copland,30895,hill,5
18399,Mount Costello,30896,hill,5
18400,Mount Cotton,30898,hill,5
18401,Mount Cotton,30897,mountain,5
18402,Mount Courtney,30899,mountain,5
18403,Mount Cox,30900,mountain,5
18404,Mount Cox,12831,mountain,5
18405,Mount Cran,3677,hill,5
18406,Mount Crawford,30901,hill,5
18407,Mount Crawford,30902,hill,5
18408,Mount Creighton,56274,farmstead,5
18409,Mount Crescent,30903,hill,5
18410,Mount Crichton,30904,hill,5
18411,Mount Crombie,30905,hill,5
18412,Mount Cropp,30906,hill,5
18413,Mount Cross,30907,hill,5
18414,Mount Crosscut,30909,ridge(s),4
18415,Mount Crosscut,30908,hill,5
18416,Mount Crossley,3678,mountain,5
18417,Mount Crowfoot,30910,mountain,5
18418,Mount Cullen,30911,hill,5
18419,Mount Culverden,30912,hill,5
18420,Mount Cunningham,30913,mountain,5
18421,Mount Cunningham,30914,hill,5
18422,Mount Cupola,30915,hill,5
18423,Mount Curie,3680,hill,5
18424,Mount Curl,51343,locality,4
18425,Mount Curtis,30916,hill,5
18426,Mount Cusack,30917,hill,5
18427,Mount Cuthbert,30918,hill,5
18428,Mount Cuttance,30919,mountain,5
18429,Mount Cutten,30920,hill,5
18430,Mount Dalgety,30921,mountain,5
18431,Mount Damper,30922,hill,5
18432,Mount Damper Falls,3681,waterfall(s),5
18433,Mount Damper Stream,3682,stream,3
18434,Mount Dampier,30923,hill,5
18435,Mount Dana,30924,hill,5
18436,Mount Danae,3683,hill,5
18437,Mount Danger,30925,hill,5
18438,Mount Daniel,12839,hill,5
18439,Mount Daniel,3684,hill,5
18440,Mount Darby,10525,mountain,5
18441,Mount Darby,30926,mountain,5
18442,Mount Darby,30927,hill,5
18443,Mount D'Archiac,30928,mountain,5
18444,Mount Dark,30929,hill,5
18445,Mount Darwin,30930,hill,5
18446,Mount Darwin,12840,hill,5
18447,Mount Dasher,30931,mountain,5
18448,Mount David,30932,hill,5
18449,Mount Davidson,30934,hill,5
18450,Mount Davidson,12841,hill,5
18451,Mount David Water Race,30933,canal,4
18452,Mount Davie,30935,mountain,5
18453,Mount Davy,30936,hill,5
18454,Mount Dawson,30937,hill,5
18455,Mount Dean,30938,hill,5
18456,Mount Dean,11393,mountain,5
18457,Mount Dechen,30939,mountain,5
18458,Mount Delight,30940,hill,5
18459,Mount Delta,30941,hill,5
18460,Mount Dewar,30943,hill,5
18461,Mount Dewar,30942,hill,5
18462,Mount Dick,11399,mountain,5
18463,Mount Dick,30944,mountain,5
18464,Mount Dick,49539,mountain,5
18465,Mount Diedrich,50363,mountain,5
18466,Mount Diedrichs,3685,hill,5
18467,Mount Difficulty,30947,mountain,5
18468,Mount Difficulty,30946,hill,5
18469,Mount Diomede,30948,hill,5
18470,Mount Dispute,30949,hill,5
18471,Mount Dixon,30950,mountain,5
18472,Mount Dobson,30952,mountain,5
18473,Mount Dobson,30951,hill,5
18474,Mount Docherty,30953,hill,5
18475,Mount Domet,50364,mountain,5
18476,Mount Domett,3686,mountain,5
18477,Mount Domett,30954,hill,5
18478,Mount Donald,30955,hill,5
18479,Mount Donald,30956,hill,5
18480,Mount Donald,30957,mountain,5
18481,Mount Donald McLean,30958,hill,5
18482,Mount Dora,30959,mountain,5
18483,Mount Doris,30960,hill,5
18484,Mount Dorothy,3687,hill,5
18485,Mount Dot,3688,hill,5
18486,Mount Dottrel,30961,hill,5
18487,Mount Doubtful,30962,hill,5
18488,Mount Douglas,12852,mountain,5
18489,Mount Douglas,30964,hill,5
18490,Mount Douglas,30963,hill,5
18491,Mount Douglas,30965,mountain,5
18492,Mount Dowding,3689,hill,5
18493,Mount Downe,30966,hill,5
18494,Mount Drake,30967,hill,5
18495,Mount Dreadful,30968,hill,5
18496,Mount Drew,30969,mountain,5
18497,Mount Dryburgh,30970,hill,5
18498,Mount Du Fresne,30971,hill,5
18499,Mount Dumas,49622,mountain,5
18500,Mount Duncan,30973,hill,5
18501,Mount Duncan,30972,hill,5
18502,Mount Dundas,30974,hill,5
18503,Mount Dundas,30975,hill,5
18504,Mount Dundas,3690,hill,5
18505,Mount Duppa,30976,mountain,5
18506,Mount Durward,30977,hill,5
18507,Mount Duthie,30978,hill,5
18508,Mount Earle,30979,mountain,5
18509,Mount Earle,3691,hill,5
18510,Mount Earnslaw,55281,mountain,5
18511,Mount Earnslaw/Pikirakatahi,7316,hill,5
18512,Mount Ears,30980,mountain,5
18513,Mount Edelweiss,30981,hill,5
18514,Mount Edelweiss,30982,mountain,5
18515,Mount Eden,30984,populated place,4
18516,Mount Eden,30983,populated place,4
18517,Mount Eden,49551,mountain,5
18518,Mount Edgar,30985,hill,5
18519,Mount Edgar Thomson,30986,hill,5
18520,Mount Edgecumbe,30987,mountain,5
18521,Mount Edgecumbe,50366,mountain,5
18522,Mount Edison,30988,hill,5
18523,Mount Edison,30989,hill,5
18524,Mount Edith,30990,hill,5
18525,Mount Edward,30991,mountain,5
18526,Mount Edward,30993,hill,5
18527,Mount Edward,30992,hill,5
18528,Mount Eggeling,30994,hill,5
18529,Mount Eggeling,3692,hill,5
18530,Mount Eggelling,50367,hill,5
18531,Mount Eglinton,3693,mountain,5
18532,Mount Einstein,3694,hill,5
18533,Mount Elder,3695,hill,5
18534,Mount Eldon,30996,mountain,5
18535,Mount Eleanor,30998,hill,5
18536,Mount Eleanor,30997,mountain,5
18537,Mount Elie De Beaumont,30999,hill,5
18538,Mount Eliot,31000,hill,5
18539,Mount Eliza,3696,hill,5
18540,Mount Elizabeth,12858,hill,5
18541,Mount Elizabeth,31001,hill,5
18542,Mount Ella,31002,hill,5
18543,Mount Ellen,31004,mountain,5
18544,Mount Ellen,31003,hill,5
18545,Mount Ellery,31005,hill,5
18546,Mount Elliot,31007,mountain,5
18547,Mount Elliot,31006,hill,5
18548,Mount Elliot,3697,hill,5
18549,Mount Elliot,12859,hill,5
18550,Mount Elliott,31009,mountain,5
18551,Mount Ellis,31010,mountain,5
18552,Mount Ellis,11405,mountain,5
18553,Mount Elwood,31011,hill,5
18554,Mount Emerson,31012,hill,5
18555,Mount Emerson,11406,hill,5
18556,Mount Emily,12861,hill,5
18557,Mount Emily,31013,hill,5
18558,Mount Enderby,31014,mountain,5
18559,Mount Enys,31015,mountain,5
18560,Mount Eostre,3698,hill,5
18561,Mount Epping,31016,hill,5
18562,Mount Erebus,31017,mountain,5
18563,Mount Erebus,12865,hill,5
18564,Mount Erebus,31018,hill,5
18565,Mount Eric,31019,hill,5
18566,Mount Erin,31020,hill,5
18567,Mount Ernest,31021,mountain,5
18568,Mount Esther,31022,hill,5
18569,Mount Ethel,31023,hill,5
18570,Mount Etna,3699,hill,5
18571,Mount Euclid,3700,hill,5
18572,Mount Evans,3701,mountain,5
18573,Mount Evans,12866,mountain,5
18574,Mount Evans,31026,hill,5
18575,Mount Evans,31025,mountain,5
18576,Mount Evans,31027,mountain,5
18577,Mount Evelyn,31028,mountain,5
18578,Mount Fagin,31029,hill,5
18579,Mount Fannin,31030,hill,5
18580,Mount Faraday,31031,mountain,5
18581,Mount Farrar,31032,hill,5
18582,Mount Faye,49598,mountain,5
18583,Mount Federation,31033,hill,5
18584,Mount Fell,3702,hill,5
18585,Mount Ferguson,12873,hill,5
18586,Mount Ferguson,31034,hill,5
18587,Mount Ferguson,31035,mountain,5
18588,Mount Ferguson,31037,hill,5
18589,Mount Ferguson,31036,hill,5
18590,Mount Findlay,3703,hill,5
18591,Mount Fisher,12875,hill,5
18592,Mount Fisher,31038,hill,5
18593,Mount Fishtail,31039,mountain,5
18594,Mount Fitchett,31040,hill,5
18595,Mount Fitzgerald,31041,hill,5
18596,Mount Fitzgerald,3704,hill,5
18597,Mount Fizeau,49597,mountain,5
18598,Mount Fleming,12877,hill,5
18599,Mount Fleming,3705,hill,5
18600,Mount Fletcher,31042,hill,5
18601,Mount Florence,31043,hill,5
18602,Mount Florence,3706,hill,5
18603,Mount Forbes,3707,hill,5
18604,Mount Forbes,31046,mountain,5
18605,Mount Forbes,31045,hill,5
18606,Mount Forster,3708,hill,5
18607,Mount Fortune,31048,hill,5
18608,Mount Foster,31049,hill,5
18609,Mount Foster,50369,mountain,5
18610,Mount Fowler,31050,hill,5
18611,Mount Fox,31052,hill,5
18612,Mount Fox,31051,mountain,5
18613,Mount Fox,12880,mountain,5
18614,Mount Frances,31054,hill,5
18615,Mount Frances,31053,hill,5
18616,Mount Franklin,31058,hill,5
18617,Mount Franklin,31057,hill,5
18618,Mount Franklin,12883,mountain,5
18619,Mount Franklin,31055,mountain,5
18620,Mount Franklin,31056,mountain,5
18621,Mount Fraser,31060,hill,5
18622,Mount Fraser,31059,mountain,5
18623,Mount Frederick,31061,mountain,5
18624,Mount Frederick Gardiner,3709,hill,5
18625,Mount Freeth,31063,hill,5
18626,Mount French,31064,mountain,5
18627,Mount French,31065,mountain,5
18628,Mount Frieda,31066,hill,5
18629,Mount Frith,31067,hill,5
18630,Mount Fugel,31068,hill,5
18631,Mount Fulton,31069,hill,5
18632,Mount Furneaux,31070,mountain,5
18633,Mount Fyffe,31071,hill,5
18634,Mount Gale,56370,mountain,5
18635,Mount Gale,31072,hill,5
18636,Mount Galileo,3710,hill,5
18637,Mount Galloway,13600,mountain,5
18638,Mount Garfield,31073,mountain,5
18639,Mount Garibaldi,31074,hill,5
18640,Mount Garnier,3711,hill,5
18641,Mount Gaskell,31075,hill,5
18642,Mount Gates,31076,hill,5
18643,Mount Gates Creek,31077,stream,3
18644,Mount Gay,31078,hill,5
18645,Mount Gendarme,3712,hill,5
18646,Mount George,31079,hill,5
18647,Mount George,31080,hill,5
18648,Mount Georgina,31081,hill,5
18649,Mount Gerald,31082,hill,5
18650,Mount Gerald Stream,31083,stream,3
18651,Mount German,31084,mountain,5
18652,Mount Gibbs,11418,hill,5
18653,Mount Gibbs,3713,hill,5
18654,Mount Gideon,3714,hill,5
18655,Mount Gifford,3715,hill,5
18656,Mount Gilbert,31086,mountain,5
18657,Mount Gilbert,31085,mountain,5
18658,Mount Giles,31087,hill,5
18659,Mount Giles,31088,hill,5
18660,Mount Gillies,31090,hill,5
18661,Mount Gillies,31089,hill,5
18662,Mount Gilray,31091,hill,5
18663,Mount Gisborne,31092,hill,5
18664,Mount Gizeh,31093,mountain,5
18665,Mount Gladstone,31094,mountain,5
18666,Mount Gladstone,31095,mountain,5
18667,Mount Gladwish,31096,hill,5
18668,Mount Glasgow,31097,hill,5
18669,Mount Glasgow,11421,hill,5
18670,Mount Glencairn,3717,hill,5
18671,Mount Glenisla,3718,hill,5
18672,Mount Glen Lyon,3716,hill,5
18673,Mount Glenmary,31098,hill,5
18674,Mount Glennie,31099,hill,5
18675,Mount Glissa,31100,mountain,5
18676,Mount Glorious,31101,hill,5
18677,Mount Glower,31102,hill,5
18678,Mount Goethe,31103,hill,5
18679,Mount Gold,31104,hill,5
18680,Mount Gold Smith,3719,mountain,5
18681,Mount Gomorrah,31105,mountain,5
18682,Mount Gooch,31106,hill,5
18683,Mount Goosey,31107,mountain,5
18684,Mount Gorden,31108,hill,5
18685,Mount Gordon,55512,mountain,5
18686,Mount Gordon,31109,mountain,5
18687,Mount Gordon,31110,mountain,5
18688,Mount Gore,31111,hill,5
18689,Mount Gorgeous,31112,hill,5
18690,Mount Gouland,31113,hill,5
18691,Mount Gould,31114,mountain,5
18692,Mount Gow,31115,hill,5
18693,Mount Gow,12895,hill,5
18694,Mount Grace,31116,hill,5
18695,Mount Graham,31117,mountain,5
18696,Mount Graham,1768,hill,5
18697,Mount Grant,31119,hill,5
18698,Mount Grant,31118,hill,5
18699,Mount Gray,3720,hill,5
18700,Mount Green,31120,mountain,5
18701,Mount Greenfield,31121,hill,5
18702,Mount Greenland,31123,mountain,5
18703,Mount Greenland,31122,hill,5
18704,Mount Greenlaw,31124,hill,5
18705,Mount Grey,55282,mountain,5
18706,Mount Grey,50372,mountain,5
18707,Mount Grey/Maukatere,7327,hill,5
18708,Mount Griffin,12899,hill,5
18709,Mount Griffin,56661,hill,5
18710,Mount Griffin,31125,hill,5
18711,Mount Griffiths,3721,hill,5
18712,Mount Grono,3722,hill,5
18713,Mount Guardian,31126,mountain,5
18714,Mount Guinevere,31127,hill,5
18715,Mount Guinevere,3723,hill,5
18716,Mount Gunn,12901,hill,5
18717,Mount Gunn,31129,hill,5
18718,Mount Gunn,31128,hill,5
18719,Mount Guy,31130,hill,5
18720,Mount Haast,31131,hill,5
18721,Mount Haast,31132,mountain,5
18722,Mount Haidinger,31133,mountain,5
18723,Mount Haidinger,31134,hill,5
18724,Mount Halcombe,31135,hill,5
18725,Mount Hall,31136,hill,5
18726,Mount Hall,12902,hill,5
18727,Mount Hall,10532,hill,5
18728,Mount Hall,31137,mountain,5
18729,Mount Hamilton,12903,mountain,5
18730,Mount Hamilton,31138,mountain,5
18731,Mount Hamilton,31139,mountain,5
18732,Mount Hanley,31140,hill,5
18733,Mount Harata,31141,hill,5
18734,Mount Hardy,31142,hill,5
18735,Mount Harkness,12906,mountain,5
18736,Mount Harkness,31143,hill,5
18737,Mount Harman,55283,mountain,5
18738,Mount Harman/Kaniere,7329,hill,5
18739,Mount Harper,55284,mountain,5
18740,Mount Harper,31144,hill,5
18741,Mount Harper/Mahaanui,7330,hill,5
18742,Mount Harriet,31145,hill,5
18743,Mount Harris,3727,hill,5
18744,Mount Harris,59880,hill,5
18745,Mount Harrison,11430,hill,5
18746,Mount Harrison,31147,hill,5
18747,Mount Harris Stream,3728,stream,3
18748,Mount Harry,31148,hill,5
18749,Mount Hart,31149,mountain,5
18750,Mount Hart,11431,mountain,5
18751,Mount Harte,31150,hill,5
18752,Mount Harvey,31151,hill,5
18753,Mount Haszard,31152,hill,5
18754,Mount Haszard,57446,mountain,5
18755,Mount Hatless,31153,mountain,5
18756,Mount Hauturu,3730,hill,5
18757,Mount Hawkins,31154,hill,5
18758,Mount Hay,31155,mountain,5
18759,Mount Head,31156,hill,5
18760,Mount Heale,31157,hill,5
18761,Mount Heale,31158,mountain,5
18762,Mount Hecla,31159,hill,5
18763,Mount Hector,31160,mountain,5
18764,Mount Heim,3731,hill,5
18765,Mount Helen,31161,hill,5
18766,Mount Hellene,31162,mountain,5
18767,Mount Hennah,31163,hill,5
18768,Mount Henry,31164,hill,5
18769,Mount Henry,12919,mountain,5
18770,Mount Herbert,31166,hill,5
18771,Mount Herbert,31165,hill,5
18772,Mount Herbert,50375,peak,5
18773,Mount Herbert,59288,hill,5
18774,Mount Hercules,31167,mountain,5
18775,Mount Hercules,12922,mountain,5
18776,Mount Herekohu,3732,hill,5
18777,Mount Hermann,31168,hill,5
18778,Mount Heslington,31169,mountain,5
18779,Mount Heveldt,31170,hill,5
18780,Mount Hickson,31172,hill,5
18781,Mount Higgins,31173,hill,5
18782,Mount Highfield,31174,mountain,5
18783,Mount Hilton,31175,mountain,5
18784,Mount Hitchin,3733,hill,5
18785,Mount Hobson,55508,hill,5
18786,Mount Hobson,31176,hill,5
18787,Mount Hochstetter,31177,hill,5
18788,Mount Hocken,31178,hill,5
18789,Mount Hodder,31179,hill,5
18790,Mount Hodges,31180,mountain,5
18791,Mount Hodgkinson,31181,hill,5
18792,Mount Hogg,31182,hill,5
18793,Mount Holdsworth,31183,hill,5
18794,Mount Holdsworth,31184,mountain,5
18795,Mount Holdsworth,12925,mountain,5
18796,Mount Holmes,3734,hill,5
18797,Mount Honey,49619,mountain,5
18798,Mount Hooker,12926,mountain,5
18799,Mount Hooker,31185,hill,5
18800,Mount Hope,31187,mountain,5
18801,Mount Hope,31186,mountain,5
18802,Mount Hope,12927,mountain,5
18803,Mount Hopeless,31188,mountain,5
18804,Mount Hopkins,31189,hill,5
18805,Mount Horatio,31190,mountain,5
18806,Mount Horn,31191,hill,5
18807,Mount Horrible,31192,hill,5
18808,Mount Horrible,31194,hill,5
18809,Mount Horrible,31195,hill,5
18810,Mount Horrible,31196,hill,5
18811,Mount Horrible,31197,mountain,5
18812,Mount Horrible,31193,mountain,5
18813,Mount Howe,31199,mountain,5
18814,Mount Howitt,31200,mountain,5
18815,Mount Hulka,31201,hill,5
18816,Mount Humboldt,31202,mountain,5
18817,Mount Humphries,31203,hill,5
18818,Mount Humphries (Whakaihuwaka),31204,hill,5
18819,Mount Hunt,31205,hill,5
18820,Mount Hunter,3735,hill,5
18821,Mount Huss,31206,mountain,5
18822,Mount Hutt,31207,hill,5
18823,Mount Hutt,31208,locality,4
18824,Mount Hutton,31210,hill,5
18825,Mount Hutton,31211,mountain,5
18826,Mount Hutt Range,31209,mountains,2
18827,Mount Huxley,31212,hill,5
18828,Mount Huxley,56003,hill,5
18829,Mount Hyde,3736,hill,5
18830,Mount Hyde,3737,mountain,5
18831,Mount Ian,31213,mountain,5
18832,Mount Ida,31214,mountain,5
18833,Mount Ida,12931,hill,5
18834,Mount Ida Water Race,31215,canal,4
18835,Mount Impey,31216,hill,5
18836,Mount Inaccessible,31218,mountain,5
18837,Mount Inaccessible,31217,hill,5
18838,Mount Inframeta,31219,hill,5
18839,Mount Ionia,31220,hill,5
18840,Mount Iota,31221,hill,5
18841,Mount Iphigenia,3738,hill,5
18842,Mount Irene,3739,hill,5
18843,Mount Iris,31224,hill,5
18844,Mount Iron,31225,hill,5
18845,Mount Isabel,31226,hill,5
18846,Mount Isobel,31228,mountain,5
18847,Mount Isobel,31227,mountain,5
18848,Mount Isolation,31229,hill,5
18849,Mount Izard,3740,hill,5
18850,Mount Jack,31230,mountain,5
18851,Mount Jackson,59292,hill,5
18852,Mount Jackson,31231,hill,5
18853,Mount Jackson,31232,hill,5
18854,Mount Jackson,31233,hill,5
18855,Mount Jackson,31234,hill,5
18856,Mount Jackson,31235,mountain,5
18857,Mount Jacob,31236,hill,5
18858,Mount Jean,31237,hill,5
18859,Mount Jeanette,31238,hill,5
18860,Mount Jervois,31240,hill,5
18861,Mount Jervois,31239,mountain,5
18862,Mount Joffre,31241,mountain,5
18863,Mount John,31242,mountain,5
18864,Mount John,31243,hill,5
18865,Mount Johnson,31244,mountain,5
18866,Mount Johnson,31245,mountain,5
18867,Mount Johnston,31246,hill,5
18868,Mount Johnstone,11447,hill,5
18869,Mount Jollie,31247,hill,5
18870,Mount Jon,3741,hill,5
18871,Mount Jonathan,31248,mountain,5
18872,Mount Jones,31249,mountain,5
18873,Mount Jones,31250,mountain,5
18874,Mount Joseph,31251,hill,5
18875,Mount Joyce,31252,hill,5
18876,Mount Joyce,12941,hill,5
18877,Mount Judah,31253,hill,5
18878,Mount Jukes,31254,hill,5
18879,Mount Jumbo,31255,hill,5
18880,Mount Juno,3742,hill,5
18881,Mount Kai Iwi,3743,hill,5
18882,Mount Kakapo,31257,hill,5
18883,Mount Kamaka,31258,mountain,5
18884,Mount Kane,31259,hill,5
18885,Mount Karetu,31260,hill,5
18886,Mount Kaye,3744,hill,5
18887,Mount Kea,31263,hill,5
18888,Mount Keddell,31264,hill,5
18889,Mount Kellard,31265,hill,5
18890,Mount Kelvin,31266,hill,5
18891,Mount Kemp,3745,hill,5
18892,Mount Kendall,31267,mountain,5
18893,Mount Kennedy,31268,hill,5
18894,Mount Kenneth,31269,hill,5
18895,Mount Kensington,31271,mountain,5
18896,Mount Kensington,31270,hill,5
18897,Mount Kepka,31272,hill,5
18898,Mount Kerr,31273,hill,5
18899,Mount Kettle,31274,hill,5
18900,Mount Kidd,31275,hill,5
18901,Mount Kinaki,31276,hill,5
18902,Mount Kinihi,31277,mountain,5
18903,Mount Kinkel,31278,hill,5
18904,Mount Kinnaird,31279,mountain,5
18905,Mount Kinross,31280,hill,5
18906,Mount Kinsey,31281,hill,5
18907,Mount Kinsey,12949,mountain,5
18908,Mount Kiriraukawa,3746,hill,5
18909,Mount Kirkliston,3747,hill,5
18910,Mount Kitson,31283,hill,5
18911,Mount Kiwi,31284,hill,5
18912,Mount Koeti,31285,hill,5
18913,Mount Koinga,31286,hill,5
18914,Mount Kruse,31287,hill,5
18915,Mount Kuri,31288,hill,5
18916,Mount Kyeburn,31289,mountain,5
18917,Mount Lakeman,31291,mountain,5
18918,Mount Lakeman,31290,hill,5
18919,Mount Lambert,31292,hill,5
18920,Mount Lance,31293,mountain,5
18921,Mount Lancelot,3750,hill,5
18922,Mount Larkins,31294,hill,5
18923,Mount Lathrop,31295,hill,5
