,toponym,pid,type,scale
36227,Waipurupuru Stream,46752,stream,3
36228,Waipuru Stream,46751,stream,3
36229,Waipu Stream,6787,stream,3
36230,Waiputatawa,46753,hill,5
36231,Wairahi Bay,46754,bay,3
36232,Wairahi River,46755,stream,3
36233,Wairahi Stream,46757,stream,3
36234,Wairahi Stream,46756,stream,3
36235,Wairahi Swamp,46759,swamp,4
36236,Wairahoraho Stream,46760,stream,3
36237,Wairaka Bay,46761,bay,3
36238,Wairaka Beach,6791,beach,3
36239,Wairakai,6792,hill,5
36240,Wairakai,59814,hill,5
36241,Wairakaia Stream,6793,stream,3
36242,Wairaka Point,46762,point,4
36243,Wairaka statue,46763,historical site,5
36244,Wairakatoke Stream,46765,stream,3
36245,Wairakau,46766,locality,4
36246,Wairakau Stream,46769,stream,3
36247,Wairakau Stream,46770,stream,3
36248,Wairakau Stream,58900,stream,3
36249,Wairakau Stream,6794,stream,3
36250,Wairakei,46771,hill,5
36251,Wairakei,46772,populated place,4
36252,Wairakei Stream,46773,stream,3
36253,Wairakei Village,46774,locality,4
36254,Wairake Stream,6795,stream,3
36255,Wairaki,56285,farmstead,5
36256,Wairakia Point,46779,point,4
36257,Wairaki Creek,46775,stream,3
36258,Wairaki Island,6796,island,4
36259,Wairaki Peaks,46776,peaks,5
36260,Wairaki River,46777,stream,3
36261,Wairaki Stream,46778,stream,3
36262,Wairamarama,46781,hill,5
36263,Wairamarama,46782,locality,4
36264,Wairamarama Creek,46783,stream,3
36265,Wairamarama Stream,46784,stream,3
36266,Wairamarama Stream,46785,stream,3
36267,Wairama Stream,46780,stream,3
36268,Wairanaki Bay,46786,bay,3
36269,Wairanga Stream,46787,stream,3
36270,Wairangi Bay,46788,bay,3
36271,Wairangiora Stream,46790,stream,3
36272,Wairangiora Stream,46791,stream,3
36273,Wairangi Stream,46789,stream,3
36274,Wairango,46792,hill,5
36275,Wairapakura Stream,46794,stream,3
36276,Wairapakuru Stream,46795,stream,3
36277,Wairapukao,46796,locality,4
36278,Wairapukao Stream,6797,stream,3
36279,Wairarakihi Stream,46797,stream,3
36280,Wairarapa Stream,46798,stream,3
36281,Wairata,46799,locality,4
36282,Wairata Stream,46800,stream,3
36283,Wairato Stream,46801,stream,3
36284,Wairau Bar,46802,locality,4
36285,Wairau Bay,7500,bay,3
36286,Wairau Creek,46803,stream,3
36287,Wairau Creek,46804,stream,3
36288,Wairau Creek,46805,stream,3
36289,Wairau Diversion,46806,canal,4
36290,Wairau Gorge,46807,gorge(s),5
36291,Wairau Lagoon,46808,lake,4
36292,Wairau River,46810,stream,3
36293,Wairau River,46812,stream,3
36294,Wairau River,46811,stream,3
36295,Wairau Shoal,14905,bank(s),4
36296,Wairau Stream,46816,stream,3
36297,Wairau Stream,46815,stream,3
36298,Wairau Stream,46814,stream,3
36299,Wairau Valley,46817,populated place,4
36300,Wairau Valley,6798,locality,4
36301,Wairawarawa Stream,46820,stream,3
36302,Waireae Stream,46821,stream,3
36303,Wairehu Canal,46822,canal,4
36304,Wairehu Stream,46823,stream,3
36305,Wairehu Stream,46824,stream,3
36306,Waireia,46825,locality,4
36307,Waireia Creek,46826,stream,3
36308,Waireia River,46827,stream,3
36309,Waireia Stream,6799,stream,3
36310,Waireka,46828,locality,4
36311,Waireka Camp,46829,historical site,5
36312,Waireka Stream,46830,stream,3
36313,Waireka Stream,46831,stream,3
36314,Wairenga Stream,46832,stream,3
36315,Wairenga Stream,46833,stream,3
36316,Waireparepa Stream,46834,stream,3
36317,Wairepo Arm,6801,lake,4
36318,Wairepo Bay,6802,bay,3
36319,Wairepo Creek,46837,stream,3
36320,Wairepo Creek,46835,stream,3
36321,Wairepo Creek,46836,stream,3
36322,Waireporepo Stream,46839,stream,3
36323,Waireporepo Stream,46838,stream,3
36324,Waireporepo Stream,46840,stream,3
36325,Wairere,46843,mountain,5
36326,Wairere,59211,mountain,5
36327,Wairere,46842,locality,4
36328,Wairere,46841,locality,4
36329,Wairereata Falls,6805,waterfall(s),5
36330,Wairereatapu Stream,46875,stream,3
36331,Wairere Bay,46844,bay,3
36332,Wairere Bay,46845,bay,3
36333,Wairere Beach,46846,beach,3
36334,Wairere Falls,46849,waterfall(s),5
36335,Wairere Falls,46848,waterfall(s),5
36336,Wairere Falls,46847,waterfall(s),5
36337,Wairere Point,46850,point,4
36338,Wairere River,46851,stream,3
36339,Wairere Stream,6803,stream,3
36340,Wairere Stream,6804,stream,3
36341,Wairere Stream,46873,stream,3
36342,Wairere Stream,46870,stream,3
36343,Wairere Stream,46853,stream,3
36344,Wairere Stream,46874,stream,3
36345,Wairere Stream,46864,stream,3
36346,Wairere Stream,46867,stream,3
36347,Wairere Stream,46865,stream,3
36348,Wairere Stream,46863,stream,3
36349,Wairere Stream,46861,stream,3
36350,Wairere Stream,46858,stream,3
36351,Wairere Stream,46855,stream,3
36352,Wairere Stream,46854,stream,3
36353,Wairere Stream,46857,stream,3
36354,Wairere Stream,46868,stream,3
36355,Wairere Stream,46862,stream,3
36356,Wairere Stream,46860,stream,3
36357,Wairere Stream,46859,stream,3
36358,Wairere Stream,46872,stream,3
36359,Wairere Stream,46871,stream,3
36360,Wairere Stream,46866,stream,3
36361,Wairere Stream,46869,stream,3
36362,Wairere Stream,58940,stream,3
36363,Wairere Stream,46856,stream,3
36364,Wairewarewa Stream,46876,stream,3
36365,Wairiki Beach,46877,beach,3
36366,Wairiki Point,6806,point,4
36367,Wairiki Stream,46879,stream,3
36368,Wairiko Stream,46880,stream,3
36369,Wairio,46881,populated place,4
